System.Xml.XmlDocument, XmlDoc, xmldocument
System.Drawing.SizeF, CurrentAutoScaleDimensions, sizef
System.Windows.Forms.Form, ParentForm, form
System.Drawing.Size, AutoScrollMargin, size
System.Drawing.Point, AutoScrollPosition, point
System.Drawing.Size, AutoScrollMinSize, size
System.Drawing.Rectangle, DisplayRectangle, rectangle
System.Windows.Forms.HScrollProperties, HorizontalScroll, hscrollproperties
System.Windows.Forms.VScrollProperties, VerticalScroll, vscrollproperties
System.Windows.Forms.ScrollableControl+DockPaddingEdges, DockPadding, dockpaddingedges
System.Windows.Forms.AccessibleObject, AccessibilityObject, accessibleobject
System.String, AccessibleDefaultActionDescription, string
System.String, AccessibleDescription, string
System.String, AccessibleName, string
System.Windows.Forms.AccessibleRole, AccessibleRole, accessiblerole
System.Boolean, AllowDrop, boolean
System.Windows.Forms.AnchorStyles, Anchor, anchorstyles
System.Drawing.Point, AutoScrollOffset, point
System.Windows.Forms.Layout.LayoutEngine, LayoutEngine, layoutengine
System.Object, DataContext, object
System.Drawing.Image, BackgroundImage, image
System.Windows.Forms.ImageLayout, BackgroundImageLayout, imagelayout
System.Int32, Bottom, int32
System.Drawing.Rectangle, Bounds, rectangle
System.Boolean, CanFocus, boolean
System.Boolean, CanSelect, boolean
System.Boolean, Capture, boolean
System.Boolean, CausesValidation, boolean
System.Drawing.Rectangle, ClientRectangle, rectangle
System.String, CompanyName, string
System.Boolean, ContainsFocus, boolean
System.Windows.Forms.ContextMenuStrip, ContextMenuStrip, contextmenustrip
System.Windows.Forms.Control+ControlCollection, Controls, controlcollection
System.Boolean, Created, boolean
System.Windows.Forms.Cursor, Cursor, cursor
System.Windows.Forms.ControlBindingsCollection, DataBindings, controlbindingscollection
System.Int32, DeviceDpi, int32
System.Boolean, IsDisposed, boolean
System.Boolean, Disposing, boolean
System.Windows.Forms.DockStyle, Dock, dockstyle
System.Boolean, Enabled, boolean
System.Boolean, Focused, boolean
System.Drawing.Font, Font, font
System.Drawing.Color, ForeColor, color
System.IntPtr, Handle, intptr
System.Boolean, HasChildren, boolean
System.Int32, Height, int32
System.Boolean, IsHandleCreated, boolean
System.Boolean, InvokeRequired, boolean
System.Boolean, IsAccessible, boolean
System.Boolean, IsAncestorSiteInDesignMode, boolean
System.Boolean, IsMirrored, boolean
System.Int32, Left, int32
System.String, Name, string
System.Windows.Forms.Control, Parent, control
System.String, ProductName, string
System.String, ProductVersion, string
System.Boolean, RecreatingHandle, boolean
System.Drawing.Region, Region, region
System.Int32, Right, int32
System.Windows.Forms.RightToLeft, RightToLeft, righttoleft
System.ComponentModel.ISite, Site, isite
System.Object, Tag, object
System.Int32, Top, int32
System.Windows.Forms.Control, TopLevelControl, control
System.Boolean, UseWaitCursor, boolean
System.Boolean, Visible, boolean
System.Int32, Width, int32
System.Windows.Forms.IWindowTarget, WindowTarget, iwindowtarget
System.Drawing.Size, PreferredSize, size
System.Windows.Forms.Padding, Padding, padding
System.Windows.Forms.ImeMode, ImeMode, imemode
System.ComponentModel.IContainer, Container, icontainer
